challenges_id,created_at,updated_at,deleted_at,title,difficulty,description,exp,coin,image_url,date_start,date_end
0d1233b8-d6e0-40df-8c6f-2ae1f8f2bfb7,2024-06-12 03:22:15.575,2024-06-12 03:22:15.575,,Membuat Kompos Rumahan Sederhana,Mudah,Buat dan pelihara tempat kompos untuk sampah rumah tangga,70,35,https://storage.googleapis.com/alterra-greeve/greeve/92eb26ef-d764-43ba-9f89-d6766b268bfcimages%20(12).jpeg,2025-05-01 16:00:00,2025-05-05 14:00:00
1e0f4c4f-5b54-4421-b8c1-46a2d382f8b2,2024-06-12 03:22:06.558,2024-06-12 03:22:06.558,,Proyek Daur Ulang,Sedang,Selesaikan proyek daur ulang dengan bahan yang sudah Anda miliki,110,55,https://storage.googleapis.com/alterra-greeve/greeve/4ee25df4-a2c6-42c1-9b33-a9487d775ad3diy-upcycled-trash-ideas-featured-homebnc-v2.jpg,2025-01-05 16:00:00,2025-01-12 16:00:00
1f6774a8-a173-4161-ad3e-e58400e007b2,2024-06-12 03:22:10.162,2024-06-12 03:22:10.162,,Penghematan Air,Sulit,Kurangi penggunaan air Anda sebesar 30% selama sebulan,280,140,https://storage.googleapis.com/alterra-greeve/greeve/64198baa-1814-4c1d-8150-156cfef53226images (11).jpeg,2025-03-01 15:00:00,2025-03-25 18:59:00
2e80a9cf-5007-4eac-9cc8-9a603d954d6a,2024-06-12 03:22:13.771,2024-06-12 03:22:13.771,,Senin Tanpa Daging,Sedang,Tidak makan daging setiap hari Senin selama sebulan,130,65,https://storage.googleapis.com/alterra-greeve/greeve/2641676b-7411-44bb-a9c9-01fd78bc3b61images%20(1).png,2025-04-01 07:00:00,2025-05-02 18:59:00
4cc8b34f-9e3e-4f05-a73a-035395ff546d,2024-06-12 03:22:04.757,2024-06-12 03:22:04.757,,Berkebun Organik,Mudah,Mulai dan pelihara kebun organik,80,40,https://storage.googleapis.com/alterra-greeve/greeve/3b796884-3c8b-4817-9e32-c31c63963495images (10).jpeg,2024-12-20 17:00:00,2024-12-27 17:00:00
5086c59a-e2f9-44d0-bcc6-f7fdb58f07a4,2024-06-12 03:21:55.736,2024-06-12 03:21:55.736,,Kerja Bakti Membersihkan Lingkungan,Mudah,Ikut serta dalam acara kerja bakti membersihkan lingkungan setempat,50,25,https://storage.googleapis.com/alterra-greeve/greeve/3afd2556-65de-47eb-b461-e84beb9cfe63images (8).jpeg,2024-08-15 17:00:00,2024-08-22 17:00:00
5550e03b-15c6-43c9-997c-4086adc8b573,2024-06-12 03:21:59.346,2024-06-12 03:21:59.346,,Bulan Hemat Energi,Sulit,Kurangi konsumsi energi rumah tangga Anda sebesar 20% selama sebulan,300,150,https://storage.googleapis.com/alterra-greeve/greeve/21dc1d7c-34e0-4057-9cfc-0e2ac83189cbimages.png,2024-10-01 07:00:00,2024-11-01 06:59:59
5fe8f4f6-43ee-4420-8969-bf1a0e19260c,2024-06-12 03:21:52.132,2024-06-12 03:21:52.132,,Menanam Pohon,Sedang,Tanam pohon di halaman belakang atau taman komunitas,100,50,https://storage.googleapis.com/alterra-greeve/greeve/12f1af01-9c5c-4223-a39f-640d4d5c46c2images (7).jpeg,2024-06-10 16:00:00,2024-06-17 16:00:00
85dd4189-9d2a-42f9-8b26-b03daa7e5869,2024-06-12 03:22:02.955,2024-06-12 03:22:02.955,,Gunakan Sistem Transportasi Hijau,Sulit,Gunakan hanya transportasi umum atau jalan kaki untuk semua perjalanan selama dua minggu,250,125,https://storage.googleapis.com/alterra-greeve/greeve/32f31bf9-96ad-41f9-98a7-ec207425e57aunnamed.jpg,2024-12-01 07:00:00,2024-12-15 15:00:00
9b21b3e5-46ff-42a1-92cc-4969c078ff83,2024-06-12 03:22:01.151,2024-06-12 03:22:01.151,,Membuat Produk Ramah Lingkungan,Sedang,Buat sendiri dan gunakan tiga produk rumah tangga ramah lingkungan,120,60,https://storage.googleapis.com/alterra-greeve/greeve/81d13e21-9952-4afb-a68c-6c968d58250emaxresdefault.jpg,2024-11-10 07:00:00,2024-11-17 16:00:00
aa013dc7-4fb3-4cf1-9cc0-e1a0ad60414d,2024-06-12 03:21:57.540,2024-06-12 03:21:57.540,,Bersepeda ke Tempat Kerja,Sedang,Berangkat kerja dengan sepeda selama seminggu,150,75,https://storage.googleapis.com/alterra-greeve/greeve/411ed466-9abf-465a-b351-d84b9d746812images (9).jpeg,2024-09-05 14:00:00,2024-09-12 14:00:00
b0ac9f1c-4e13-4848-977a-02dd540369a7,2024-06-12 03:22:11.965,2024-06-12 03:22:11.965,,Ikut Serta dalam Earth Hour,Mudah,Matikan semua lampu dan peralatan listrik selama satu jam,40,20,https://storage.googleapis.com/alterra-greeve/greeve/4d8d8751-1ac4-4d28-99b6-9ed9c0f8f766earth-hour-campaign-poster-or-banner-turn-off-your-lights-for-our-planet-60-minutes-free-vector.jpg,2025-03-30 03:00:00,2025-03-30 04:00:00
ba2621ac-6f99-43cb-ab8a-7db626b7c4e4,2024-06-12 03:21:53.935,2024-06-12 03:21:53.935,,Minggu Tanpa Limbah,Sulit,Tidak menghasilkan limbah selama seminggu dan daur ulang segala sesuatu yang mungkin,200,100,https://storage.googleapis.com/alterra-greeve/greeve/70126aef-8d2c-4776-8556-de3e14b452b8Zero-Waste-Week-1.jpg,2024-07-01 15:00:00,2024-07-08 15:00:00
c0aa381d-4c14-4eba-9811-c6356176ab67,2024-06-12 03:22:08.361,2024-06-12 03:22:08.361,,Belanja Barang Ramah Lingkungan,Mudah,Beli hanya produk ramah lingkungan selama seminggu,90,45,https://storage.googleapis.com/alterra-greeve/greeve/dc808bf3-5f9e-4009-9d87-20a6adaca058less-plastic-1195643968.jpg,2025-02-20 15:00:00,2025-03-01 07:00:00
ce6bf160-34ba-4685-80d7-10df1bd04fd1,2024-06-12 03:22:17.382,2024-06-12 03:22:17.382,,Ikut Serta dalam Hari Bebas Mobil,Sedang,Hindari menggunakan mobil dan kendaraan bermotor selama sehari,100,50,https://storage.googleapis.com/alterra-greeve/greeve/399b5b8a-98a6-47f0-acb6-d314882d8b625eeef3334ed2b.jpg,2025-06-05 16:00:00,2025-06-06 14:00:00
